곡명|간단|후츠우|무즙|오니|우라
"NO DOUBT
「アイドリッシュセブン」より"|1|2|4|7|-
"Heavenly Visitor
「アイドリッシュセブン」より"|3|3|3|6|9
"ANiMA
xi 「DEEMO」より"|5|6|7|10|-
"MagiCatz
Sakuzyo 「DEEMO」より"|2|3|6|10|-
"Wish upon a shooting star
SUi 「DEEMO」より"|4|5|6|9|-
"Leviathan
NeLiME 「DEEMO」より"|4|7|7|9|-
"JOIN THE PAC -太鼓の達人 Ver.-
パックマン40周年公式テーマ楽曲"|3|3|6|9|-
"シンクロニカ・エアライン
Taku Inoue 「シンクロニカ」より"|4|6|7|9|-
"ヒミツキチューバー
「ニンジャボックス」より"|3|4|6|8|-
ドルアーガの塔メドレー SECRET!|4|5|7|8|-
"名乗り（天上） SECRET!
「未来忍者」より"|3|5|6|8|-
ポケットモンスター Let’s Go！ ピカチュウ・Let’s Go！ イーブイ|2|2|5|7|-
モンスターハンター4 メドレー|3|5|7|8|-
"ファミコンメドレー
バルーンファイト・ドクターマリオ・エキサイトバイク"|4|6|7|9|-
ゼルダの伝説　ブレス オブ ザ ワイルド　メドレー|4|5|6|8|-
スーパードラゴンボールヒーローズ　テーマソング|2|3|5|6|-
ドラゴンボールヒーローズ 邪悪龍ミッションシリーズ テーマソング|2|3|3|6|-
ドラゴンボールヒーローズ ゴッドミッションシリーズ テーマソング|3|4|5|7|-
ドラゴンボールヒーローズ ギャラクシーミッションシリーズ テーマソング|3|3|4|6|-
"KAGEKIYO
源平討魔伝メドレー"|4|5|7|8|10
"SHOGYO MUJO
源平討魔伝リミックス COSIO"|2|3|7|9|-
"Dr.WILY STAGE 1
「ロックマン2 Dr.ワイリーの謎」より"|4|6|7|8|-
"No Way Back
「GOD EATER」より"|4|6|7|8|9
"無慈悲な王
「GOD EATER BURST」より"|3|6|6|7|-
"Wings of Tomorrow（Tatsujin Mix）
「GOD EATER 2」より"|4|6|6|9|-
"ソウルキャリバーII
Brave Sword, Braver Soul"|3|5|5|7|-
"ミュージック・リボルバー
「ミュージックガンガン！2」より"|3|3|3|4|10
"【双打】 ミュージック・リボルバー
「ミュージックガンガン！2」より"|2|4|3|5|-
"Extreme MGG★★★
「ミュージックガンガン！2」より"|3|3|3|5|9
"【双打】 Extreme MGG★★★
「ミュージックガンガン！2」より"|3|3|4|8|-
太鼓のマーチ|5|6|6|7|-
"テイルズ オブ ジ アビス
The arrow was shot"|5|6|7|8|-
"光る闇
テイルズ オブ ザ ワールド レーヴ ユナイティア"|3|5|5|8|-
"FLOWER
DJ YOSHITAKA 「jubeat」より"|5|7|8|9|10
"Garakuta Doll Play
t＋pazolite 「maimai」より"|4|6|8|9|10
"怒槌
光吉猛修 「CHUNITHM」より"|5|7|8|10|-
"極圏
cosMo VS dj TAKA「SOUND VOLTEX」より"|5|7|7|10|-
"FUJIN Rumble
COSIO（ZUNTATA）「グルーヴコースター」より"|5|6|8|10|-
"マサカリブレイド
REDALiCE 「SOUND VOLTEX」より"|4|5|6|9|-
"Xevel
Tatsh 「CHUNITHM」より"|5|7|8|10|-
"ouroboros ‐twin stroke of the end‐
Cranky VS MASAKI 「グルーヴコースター」より"|5|7|8|10|-
"夜明けまであと3秒
「シンクロニカ」より"|4|5|7|9|-
"カノン (シンクロニカ Remix)
「シンクロニカ」より"|3|5|6|8|-
"Synchronicity
「シンクロニカ」より"|3|3|6|8|-
"God Ray
「シンクロニカ」より"|5|6|7|10|-
"Surf Zapping
t＋pazolite 「シンクロニカ」より"|4|6|7|10|-
"New World
「シンクロニカ」より"|3|6|7|9|-
"Scarlet Lance
MASAKI（ZUNTATA）「グルーヴコースター」より"|5|7|8|10|-
"GERBERA
BEMANI Sound Team ""TAG"" 「SOUND VOLTEX」より"|4|7|8|10|-
"VERTeX
Hiro「maimai」より"|5|7|8|10|-
"Scars of FAUNA
猫叉Master「jubeat」より"|4|5|7|9|-
"Saika
Rabpit 「DEEMO」より"|3|4|6|8|-
"Got more raves？
E.G.G.「グルーヴコースター」より"|5|7|8|9|10
"電車で電車でGO！GO！GO！GC！ ‐ GMT remix ‐
COSIO（ZUNTATA／TAITO）／沢城千春「電車でGO！」"|4|5|6|8|-
"オパ！オパ！RACER ‐ GMT mashup ‐
COSIO（ZUNTATA／TAITO）「ファンタジーゾーン」「RIDGE RACER」"|5|6|8|9|-
"ファンタジーゾーン OPA-OPA！ ‐ GMT remix ‐
Hiro（SEGA）「ファンタジーゾーン」"|4|6|7|7|-
"Over Clock～開放～
NAOKI feat.un∞limited 「クロスビーツレヴ」より"|3|6|7|8|-
"電車で電車でOPA！OPA！OPA！ ‐ GMT mashup ‐
Yuji Masubuchi（BNSI）「電車でGO！」「ファンタジーゾーン」"|4|6|7|8|-
"RIDGE RACER STEPS ‐ GMT remix ‐
Yuji Masubuchi（BNSI）「RIDGE RACER」"|4|6|7|9|-
"リッジでリッジでGO！GO！GO！ ‐ GMT mashup ‐
Hiro（SEGA）「RIDGE RACER」「電車でGO！」"|4|6|7|9|-
Ridge Racer|4|7|8|8|9
"Kamikaze Remix
「RIDGE RACERS 2」より"|3|6|8|10|-
"BLUE TOPAZ
「レイブレーサー」より"|4|5|7|8|-
RAGE v.self|3|4|6|8|-
"EAT’EM UP！
「R4 ‐RIDGE RACER TYPE4‐」より"|3|5|6|8|-
"URBAN FRAGMENTS
「R4 ‐RIDGE RACER TYPE4‐」より"|4|4|6|8|-
"Venomous
「リッジレーサー3D」より"|5|6|7|9|10
"Angel Halo
「リッジレーサー3D」より"|5|7|8|10|-
"SAMURAI ROCKET
「RIDGE RACER V」より"|4|5|7|8|9
"おしえて くまとも
「クマ・トモ」テーマ曲"|2|3|5|8|-
"Night And Day
「ACE COMBAT 2」より"|4|6|8|9|-
"Comona
「ACE COMBAT 04」より"|3|5|7|9|-
"IN THE ZONE
「ACE COMBAT X2 JOINT ASSAULT」より"|4|6|8|9|-
"キミとボクのミライ
「グランブルーファンタジー」より"|3|4|5|6|-
"ソラのミチシルベ
「グランブルーファンタジー」より"|4|4|5|7|-
ワンダーモモーイ|4|5|6|7|-
"Doom Noiz
「ギャラガレギオンズ」より"|5|6|8|10|-
"Lightning Dance
「湾岸ミッドナイト マキシマムチューン」より"|4|5|7|8|-
"TO MAKE THE END OF BATTLE
「イースⅠ＆Ⅱクロニクルズ」より"|4|5|7|7|-
"Walking Through The Towers
「パズル＆ドラゴンズ」より"|3|4|5|7|-
"Holding Hands
「パズル＆ドラゴンズ」より"|3|5|6|7|-
"Unite The Force
「パズル＆ドラゴンズ」より"|2|4|7|8|-
"バトル－電光石火－
「パズドラクロス」より"|2|4|5|8|-
"決戦！！
「パズドラZ」より"|3|5|6|8|-
"筋肉のような僕ら ～マッスル愛のテーマ～
「マッスル行進曲」より"|4|5|6|8|-
"PaPaPa Love
「マッスル行進曲」より"|3|5|6|8|-
"ピコピコ マッピー
マッピーメドレー × サカモト教授"|4|6|7|8|-
"The Windmill Song
「風のクロノア」より"|4|6|6|8|-
"Good‐bye my earth
「ダライアスバースト」より"|3|5|7|8|-
"BLAZING VORTEX
「クリティカルベロシティ」より"|5|6|7|7|10
"Sunset Runaway
「クリティカルベロシティ」より"|4|6|8|9|-
"Wasabi Body Blow
「鉄拳 3D プライム エディション」より"|3|4|6|9|-
"KARMA（Tatsujin Mix）
「鉄拳6 BLOODLINE REBELLION」より"|4|6|7|9|-
"Heat Haze Shadow 2
「鉄拳7」より"|4|6|7|9|-
"Abyss of hell
「鉄拳 レボリューション」より"|5|7|8|8|10
"Abandoned Temple Final 2nd
「鉄拳7 FR」より"|3|4|6|9|-
"Highschool love！
「鉄拳タッグトーナメント2 Wii U EDITION」より"|3|4|6|7|-
"グレート！アニマルカイザー!!
「百獣大戦グレートアニマルカイザー」より"|3|4|6|8|-
"大打音
「オーダイン」より"|5|7|7|8|-
チェインクロニクル 通常バトルメドレー|3|5|6|8|9
チェインクロニクル 最終決戦メドレー|4|6|6|8|9
チェインクロニクル 総力戦メドレー|3|4|5|7|9
シンフォニック ドルアーガ|4|6|7|7|-
"Where is the Target？
「ローリングサンダー2」より"|4|6|8|9|-
アサルト BGM1|3|5|6|8|-
"指先からはじまる物語
郁原ゆう 「しんぐんデストロ～イ！」より"|3|3|4|8|-
"戦え！ T3防衛隊 ～GDI mix～
「TANK！ TANK！ TANK！」より"|4|4|7|8|-
"PAC-MAN CHAMPIONSHIP EDITION 2
PAC TOY-BOX"|4|6|7|9|-
"Pastel Sealane
「ブレイザー」より"|5|7|8|9|-
メタルホーク BGM1|5|6|8|10|-
"Diver
「トレジャーガウスト ガウストダイバー」より"|3|5|6|9|-
"くらえ！ブットバースト!!
「友情装着！ブットバースト」より"|2|2|4|6|-
"ナックルヘッズ
鷹舞狼吼"|4|5|7|8|-
"恋はみずいろ
「みずいろブラッド」より"|3|3|5|7|-
ドラゴンスピリットメドレー|4|6|8|7|-
バーニングフォースメドレー|4|5|6|8|-
"TD - 28619029byte remix -
「テクノドライブ」より"|5|7|8|9|-
"THE IDOLM＠STER
「アイドルマスター」より"|3|4|4|8|8
"アイ MUST GO！
「アイドルマスター」より"|3|3|3|8|-
"Spread the Wings!!
「アイドルマスター シャイニーカラーズ」より"|3|4|4|6|-
"お願い！シンデレラ
「アイドルマスター シンデレラガールズ」より"|3|4|4|7|-
"エンジェル ドリーム
「アイドルマスター シンデレラガールズ」より"|3|6|7|8|-
"Tulip
「アイドルマスター シンデレラガールズ」より"|3|3|5|6|9
"Star!!
「アイドルマスター シンデレラガールズ」より"|3|4|5|6|9
"GOIN'!!!
「アイドルマスター シンデレラガールズ」より"|3|4|5|6|8
"Shine!!
「アイドルマスター シンデレラガールズ」より"|3|4|5|6|9
"あんずのうた
「アイドルマスター シンデレラガールズ」より"|3|5|6|7|-
"S(mile)ING！
「アイドルマスター シンデレラガールズ」より"|2|4|4|6|-
"Never say never
「アイドルマスター シンデレラガールズ」より"|3|4|5|8|-
"華蕾夢ミル狂詩曲～魂ノ導～
「アイドルマスター シンデレラガールズ」より"|2|4|5|8|9
"TOKIMEKIエスカレート
「アイドルマスター シンデレラガールズ」より"|2|3|5|6|9
"ミツボシ☆☆★
「アイドルマスター シンデレラガールズ」より"|3|4|5|6|9
"Thank You！
「アイドルマスター ミリオンライブ！」より"|3|4|5|8|-
"Brand New Theater！
「アイドルマスター ミリオンライブ！」より"|3|4|6|8|-
"マジで…！？
「アイドルマスター」より"|3|5|6|8|-
"魔法をかけて！
「アイドルマスター」より"|3|3|4|7|6
"GO MY WAY!!
「アイドルマスター」より"|3|5|5|7|-
"キラメキラリ
「アイドルマスター」より"|3|6|7|9|-
"shiny smile
「アイドルマスター」より"|3|4|4|8|7
"The world is all one !!
「アイドルマスター」より"|3|4|4|5|-
"SMOKY THRILL
「アイドルマスター」より"|4|5|6|8|-
"READY!!
「アイドルマスター」より"|3|2|4|6|-
"自分REST＠RT
「アイドルマスター」より"|3|4|4|7|9
"M＠STERPIECE
「アイドルマスター」より"|2|3|4|6|-
"待ち受けプリンス
「アイドルマスター」より"|3|5|5|9|-
"きゅんっ！ヴァンパイアガール
「アイドルマスター」より"|3|3|3|6|-
"七彩ボタン
「アイドルマスター」より"|3|4|4|7|-
"Honey Heartbeat ～10 Stars Mix～
「アイドルマスター」より"|3|4|7|9|10
"ONLY MY NOTE
「アイドルマスター」より"|3|4|6|6|-
"DRIVE A LIVE
「アイドルマスター SideM」より"|3|4|5|7|-
"Reason!!
「アイドルマスター SideM」より"|1|2|3|6|-
"GLORIOUS RO＠D
「アイドルマスター SideM」より"|2|3|3|7|-
