곡명|간단|후츠우|무즙|오니|우라
"どこまでも～How Far I’ll Go～
「モアナと伝説の海」より"|2|3|5|6|-
騎士竜戦隊リュウソウジャー|1|2|3|7|-
となりのトトロ|2|3|1|5|-
"さんぽ
「となりのトトロ」より"|1|1|4|5|9
"いつも何度でも
「千と千尋の神隠し」より"|2|1|2|1|-
崖の上のポニョ|1|2|1|2|-
"君をのせて
「天空の城ラピュタ」より"|2|3|4|6|-
もりのくまさん|1|1|1|1|9
【双打】 もりのくまさん|2|4|6|7|9
いぬのおまわりさん|1|2|4|7|-
"ケラケラホーのうた
「妖怪ウォッチ！」より"|1|1|1|3|-
"時を待とう
「妖怪ウォッチ シャドウサイド」より"|1|2|3|6|-
"初恋峠でゲラゲラポー
「妖怪ウォッチ」より"|3|4|4|7|-
"祭り囃子でゲラゲラポー
「妖怪ウォッチ」より"|3|4|5|7|-
"ダン・ダン ドゥビ・ズバー！
「妖怪ウォッチ」より"|2|4|5|7|-
"ゲラゲラポーのうた
「妖怪ウォッチ」より"|3|4|5|7|-
"妖怪ウォッチ2 元祖／本家／真打
BGMメドレー"|2|3|6|9|-
"ゲゲゲの鬼太郎
TVアニメ 第6期 オープニング主題歌"|1|1|1|2|10
スーパーマリオブラザーズ|4|5|7|8|-
"Jump Up, Super Star！ Short Version
「スーパーマリオ オデッセイ」より"|3|4|5|8|-
ウキウキオトッペ|1|1|4|9|-
"OVER THE TOP
ONE PIECEワノ国編主題歌"|1|2|2|6|-
"Hope
安室奈美恵 「ワンピース」より"|2|3|5|7|-
ぐでたまテーマソング|1|1|1|3|-
ぐでたまぷちょへんざ|1|1|3|4|-
ポケットモンスター Let’s Go！ ピカチュウ・Let’s Go！ イーブイ|2|2|5|7|-
"未来コネクション
テレビアニメ「ポケットモンスター サン＆ムーン」より"|2|3|4|7|-
"アローラ!!
「ポケットモンスター サン＆ムーン」より"|2|3|4|7|-
"XY＆Z
「ポケットモンスター XY & Z」より"|1|2|5|9|-
"星のカービィメドレー
「星のカービィ Wii」より"|2|4|5|8|-
"メタナイトの逆襲メドレー
「星のカービィ ウルトラスーパーデラックス」より"|3|4|7|7|10
"零 ‐ZERO‐
福山雅治　「名探偵コナン ゼロの執行人」より"|2|3|5|7|-
"カウントダウン
「名探偵コナン」より"|2|4|5|8|-
"ハルウタ
「名探偵コナン 11人目のストライカー」より"|3|4|5|6|-
"エビカニクス
ケロポンズ"|2|2|3|6|-
ひまわりの約束|3|4|5|7|-
スプラトゥーン2 メドレー|2|3|5|7|9
"シオカラ節
「スプラトゥーン」より"|2|4|5|7|-
"限界突破×サバイバー
「ドラゴンボール超」より"|3|3|3|3|8
スーパードラゴンボールヒーローズ　テーマソング|2|3|5|6|-
ドラゴンボールヒーローズ ゴッドミッションシリーズ テーマソング|3|4|5|7|-
ドラゴンボールヒーローズ 邪悪龍ミッションシリーズ テーマソング|2|3|3|6|-
ドラゴンボールヒーローズ ギャラクシーミッションシリーズ テーマソング|3|3|4|6|-
"カルメン 組曲一番終曲
ビゼー"|3|5|5|7|-
"天国と地獄 序曲
オッフェンバック"|4|4|5|6|-
"ウィリアム・テル序曲
ロッシーニ"|3|5|7|7|-
"第九交響曲
ベートーヴェン"|3|3|3|6|-
"おどるポンポコリン
「ちびまる子ちゃん」より"|1|2|3|4|-
"GEEDの証
『ウルトラマンジード』より"|3|3|4|7|-
"オーブの祈り
「ウルトラマンオーブ」より"|3|5|6|10|-
ウルトラマンX|1|3|5|7|10
ウルトラマンギンガの歌|3|3|6|9|-
"くまもとサプライズ！
くまモン体操"|2|3|4|6|-
"おさかな毎日！さかなクン
さかなクン"|2|4|4|7|-
"グレート！アニマルカイザー!!
「百獣大戦グレートアニマルカイザー」より"|3|4|6|8|-
"ココロ転がせっ！
コロコロコミック35周年応援ソング"|3|4|4|5|-
"RAINMAKER
新日本プロレス オカダ・カズチカ入場テーマ"|3|4|5|8|-
"くらえ！ブットバースト!!
「友情装着！ブットバースト」より"|2|2|4|6|-
"ロックン・ハート！
「たまごっち！ゆめキラドリーム」より"|2|5|5|5|-
"みらくる☆トラベル
「たまごっち！みらくるフレンズ」より"|2|3|3|4|-
