title|sub_title|level|ranked|genre1|genre2|is_ura|individual|first_play|full_combo|do_jo||||||
マオウのショウタイム|마왕의 쇼타임|9|3|8|0|0|0|0|0|0||||||
練習曲Op.10-4|연습곡 Op.10-4|9|3|7|8|0|0|0|0|0||||||
おにぎりはどこかしら♪|주멉밥은 어디에 있을까♪|9|3|4|8|0|0|0|0|0||||||
GO GET'EM!||9|3|8|0|1|0|0|0|0||||||
蒼の旋律|창의 선율|9|3|8|0|0|0|0|0|0||||||
Dragoon||9|3|8|0|0|0|0|0|0||||||
The Carnivorous Carnival||9|3|8|0|0|0|0|0|0||||||
シン・ゾンビ【達人】|신 좀비 [달인]|9|3|1|0|0|0|0|1|0||||||
亜空間遊泳ac12.5|아공간유영ac12.5|9|3|8|0|0|0|0|0|0||||||
Pastel Sealane||9|3|5|0|0|1|0|0|0||||||
Got more raves?||9|3|5|0|0|1|0|0|0||||||
3piece-JazzParty!||9|3|8|0|0|1|0|0|0||||||
はやさいたま2000|하야 사이타마 2000|9|3|8|0|0|1|0|0|0||||||
New World||9|3|5|0|0|1|0|0|8||||||
ガンスリンガーシンデレラ|건슬링거 센데렐라|9|3|8|0|0|0|0|1|0||||||
ルカルカ★ナイトフィーバー|루카루카★나이트 피버|9|3|4|0|1|0|0|0|0||||||
仮想現実のテレスコープ|가상 현실의 텔레스코프|9|3|8|0|0|0|0|0|0||||||
Venomous||9|3|5|0|0|0|0|0|0||||||
IN THE ZONE||9|3|5|0|0|0|0|1|0||||||
Wasabi Body Blow||9|3|5|0|0|0|0|0|0||||||
カグツチ|카구츠치|9|3|8|0|0|0|0|0|0||||||
KUSANAGI||9|3|8|0|0|0|0|0|0||||||
燃えよサファイア|타오르라 사파이어|9|4|8|0|0|0|0|0|0||||||
幾望の月|기망의 달|9|4|4|0|0|0|0|0|0||||||
EDY ‐エレクトリカルダンシングヨガ‐|일렉트리컬 댄싱 요가|9|4|4|0|0|1|0|0|0||||||
エンジェル ドリーム|엔젤 드림|9|4|8|0|1|0|1|0|0||||||
オール・イン・マイハート|올·인·마이 하트|9|4|8|0|0|0|0|1|0||||||
Extreme MGG★★★||9|4|5|0|1|0|0|0|0||||||
ゆらめ||9|4|5|0|0|0|0|0|0||||||
TOKIMEKIエスカレート|두근두근 에스컬레이트|9|4|5|3|1|0|0|0|0||||||
夜桜謝肉祭|야앵사육제|9|4|8|0|0|0|0|0|0||||||
時空庁時空1課|시공청 시공1과|9|4|8|0|0|0|0|0|0||||||
元祖！天才チルノちゃん☆|원조! 천재 치르노짱☆|9|4|6|0|0|0|0|0|0||||||
バイオレンストリガー|바이올런스 트리거|9|4|4|0|0|0|0|0|0||||||
初音ミクの消失‐劇場版‐|하츠네 미쿠의 소실 -극장판-|9|4|4|8|0|0|0|0|0||||||
ケチャドン2000【玄人】|케챠동 2000 [현인]|9|4|8|0|0|0|0|0|0||||||
セイクリッド ルイン|세이크리드 루인|9|4|8|0|0|0|0|0|0||||||
ピコピコ ルイン|피코피코 루인|9|4|8|0|0|0|0|0|0||||||
食らいむ！まうんとぱふぇ|마운트 파르페|9|4|8|0|0|0|0|0|0||||||
天狗囃子|텐구하야시|9|4|8|0|0|1|0|0|0||||||
自分REST@RT|자신 REST@RT|9|4|5|3|1|0|0|0|0||||||
Amber Light||9|4|8|0|0|0|0|0|0||||||
Agent Hustle & Dr. Hassle||9|4|8|0|1|0|0|0|0||||||
DIMENSIONS||9|4|8|0|0|1|0|0|0||||||
Honey Heartbeat ～10 Stars Mix～||9|4|5|3|0|0|0|0|0||||||
大空と太鼓の踊り|대공과 태고의 춤|9|4|8|0|0|0|0|0|0||||||
Garakuta Doll Play||9|4|5|0|0|0|0|0|0||||||
FLOWER||9|4|5|0|0|0|0|0|0||||||
Dreadnought||9|4|6|0|0|0|0|0|0||||||
幻想即興曲||9|4|7|8|0|0|0|0|8||||||
+♂(プラス男子)|+♂(플러스 남자)|9|4|4|0|1|1|0|0|0||||||
マジカル・パフェ|매지컬·파르페|9|4|8|0|0|0|0|0|0||||||
GO GET'EM!||9|4|8|0|0|0|0|0|7||||||
ぺた・PETA！？パンプキン|페타·PETA!?펌프킨|9|4|8|0|0|0|0|0|0||||||
Where is the Target?||9|4|5|0|0|0|0|0|0||||||
華蕾夢ミル狂詩曲～魂ノ導～|꽃봉오리 꿈꾸는 광시곡 ~혼의 이끌림~|9|4|5|0|1|0|0|0|0||||||
カンタービレ×パッシオーネ|칸타빌레×파시오네|9|4|4|5|1|0|0|0|0||||||
毒LOＣＡＮdy|도쿠로 캔디♡|9|5|8|0|0|0|0|0|0||||||
G意識過剰|G의식 과잉|9|5|8|0|0|0|0|0|0||||||
熊蜂の飛行|왕벌의 비행|9|5|7|0|0|0|0|0|0||||||
Sunset Runaway||9|5|5|0|0|0|0|1|0||||||
God knows...||9|5|3|0|1|0|0|1|0||||||
さよならワーリャ|안녕 바리야|9|5|8|0|0|1|0|0|0||||||
魔方陣 ‐サモン・デルタ‐|마방진 -사몬·델타-|9|5|8|0|0|1|0|0|0||||||
Asteroid||9|5|6|8|0|0|0|0|0||||||
マサカリブレイド|큰도끼 블레이드|9|5|5|0|0|0|0|0|0||||||
ヤマタイ★ナイトパーティー|야마타이★나이트 파티|9|5|8|0|0|0|0|0|0||||||
幻想のサテライト|환상의 새틀라이트|9|5|6|0|0|0|0|0|0||||||
シャイニング☆アブラカタブラ|샤이닝☆아브라카타브라|9|5|8|0|0|0|0|0|0||||||
聖徳たいこの「日いずるまで飛鳥」|성덕 태고의 「해가 질 때까지 아스카」|9|5|8|0|0|0|0|0|0||||||
No Way Back||9|5|5|0|1|0|0|0|0||||||
華振舞|화진무|9|5|1|0|0|0|0|1|0||||||
魔理沙は大変なものを盗んでいきました|마리사는 엄청난 것을 훔쳐갔습니다|9|5|6|0|0|0|0|0|0||||||
Heaven’s Rider||9|5|8|0|0|1|0|0|9||||||
TOKIMEKI♡ですとろいやー！！|두근두근♡데스트로이어!!|9|5|8|0|0|0|0|0|0||||||
トラストゲーム|트러스트 게임|9|5|8|0|0|0|0|0|0||||||
STAGE 0.ac11||9|5|8|0|0|0|0|0|0||||||
Comona||9|5|5|0|0|1|0|1|0||||||
メヌエット|미뉴에트|9|5|7|8|0|1|0|0|0||||||
鳳凰天舞無限崩れ|봉황 천무 무한 붕괴|9|5|8|0|0|0|0|1|0||||||
しょうゆ de Show you!|소유 de Show you!|9|5|8|0|0|0|0|0|0||||||
Ridge Racer||9|5|5|0|1|0|0|0|0||||||
私立高天原学園高校・校歌|사립 타카 마가 하라 학원 고교·교가|9|5|8|0|0|0|0|0|0||||||
サクラ・シークレット|사쿠라·시크릿|9|5|6|0|0|0|0|0|0||||||
アスノヨゾラ哨戒班|내일의 밤하늘 초계반|9|5|4|0|0|0|0|0|0||||||
ダンスロボットダンス|댄스 로봇 댄스|9|5|4|5|0|0|0|0|0||||||
チェインクロニクル 最終決戦メドレー|체인 크로니클 최종 결전 메들리|9|5|5|0|1|0|0|0|0||||||
Scars of FAUNA||9|5|5|0|0|0|0|0|0||||||
激運！七福ハッピークルー|격운! 칠복 해피 크루|9|5|8|0|0|0|0|0|0||||||
六兆年と一夜物語|육조 년과 하룻밤 이야기|9|5|4|0|1|0|0|0|0||||||
六兆年と一夜物語|육조 년과 하룻밤 이야기|9|5|4|0|0|0|0|0|0||||||
RIDGE RACER STEPS||9|5|5|0|0|0|0|0|0||||||
夜櫻ブレヰダアズ|야앵 브레이더스|9|5|8|0|0|0|0|0|0||||||
ケチャドン2000【達人】|케챠동 2000 [달인]|9|5|8|0|0|1|0|0|0||||||
Grip & Break down !!||9|5|6|0|1|0|0|0|0||||||
猫サンキュー|고양이 땡큐|9|5|1|0|0|0|0|0|0||||||
クロス･ブルー|크로스·블루|9|5|8|0|0|0|0|0|8||||||
DON'T CUT||9|5|8|0|1|0|0|0|0||||||
KARMA(Tatsujin Mix)||9|5|5|0|0|0|0|0|0||||||
Heat Haze Shadow 2||9|5|5|0|0|0|0|0|0||||||
junction||9|5|8|0|0|0|0|0|0||||||
JOIN THE PAC||9|5|5|0|0|0|0|0|0||||||
よくでる2000|요쿠데루 2000|9|5|8|0|0|0|0|0|6||||||
やわらか戦車|말랑말랑 전차|9|5|6|0|1|0|0|0|0||||||
恋文2000|연문 2000|9|6|8|0|0|0|0|0|0||||||
きたさいたま200|키타 사이타마 200|9|6|8|0|0|0|0|0|0||||||
フリフリ♪ノリノリ♪|후리후리♪ 노리노리♪|9|6|8|0|1|0|0|0|0||||||
Wings of Tomorrow||9|6|5|0|0|0|0|1|0||||||
SAKURA EXHAUST||9|6|8|0|0|0|0|0|7||||||
twinkle night||9|6|6|0|1|0|0|0|0||||||
残響|잔향|9|6|4|5|1|0|0|0|0||||||
シン・ゾンビ【普通】|신 좀비 [보통]|9|6|1|0|0|0|0|0|0||||||
dance storm||9|6|8|0|1|0|0|0|0||||||
少女の神の粒子|소녀의 신의 입자|9|6|8|0|0|0|0|0|7||||||
音虫をつかまえろ！|소리 벌레를 잡아라!|9|6|8|0|0|0|0|0|0||||||
チェインクロニクル 通常バトルメドレー|체인 크로니클 통상 배틀 메들리|9|6|5|0|1|0|0|0|0||||||
めたるぽりす|메탈 폴리스|9|6|8|0|1|0|0|0|0||||||
FooFooカセット|Foo Foo 카세트|9|6|8|0|0|0|0|0|0||||||
チルノのパーフェクトさんすう教室　⑨周年バージョン|치르노의 퍼펙트 산수교실 ⑨주년 버전|9|6|6|0|0|0|0|0|0||||||
トッカータとフーガとロック|토카타와 푸가와 락|9|6|7|8|0|0|0|0|0||||||
迅風丸|진풍환|9|6|8|0|1|0|0|0|0||||||
零の狂詩曲|영의 광시곡|9|6|8|0|0|0|0|0|0||||||
零の夜想曲|영의 야상곡|9|6|8|0|1|0|0|0|0||||||
MEGALOMANIA|와! 샌즈|9|6|5|0|0|0|0|0|0||||||
SAMURAI ROCKET||9|6|8|0|1|0|0|0|0||||||
オパ！オパ！RACER||9|6|5|0|0|0|0|0|0||||||
My Muscle Heart||9|6|8|0|0|0|0|0|0||||||
Solitude Star||9|6|8|0|0|0|0|1|0||||||
XY&Z||9|6|2|3|0|0|0|0|0||||||
散りゆく蘭の綴る詩|흩어져 가는 난이 짓는 시|9|6|8|0|0|0|0|0|6||||||
SHOGYO MUJO【玄人】||9|6|8|0|0|0|0|0|0||||||
愛なんだぜ|사랑이라구|9|6|8|0|0|0|0|0|0||||||
Pixel Galaxy||9|6|6|0|0|0|0|0|0||||||
Smile! Smile! Smile!||9|6|2|0|1|1|0|0|0||||||
イイコ進化論|착한 아이 진화론|9|6|1|0|0|0|0|0|0||||||
SORA-Ⅵ 火ノ鳥|SORA-Ⅵ 불의 새|9|6|8|0|0|0|0|0|0||||||
ヒカリアレ|빛이 있으리|9|6|3|0|0|0|0|0|0||||||
秋竜 ～Shiuryu～|추룡|9|6|8|0|0|0|0|0|0||||||
女帝 ～インバラトゥーラ～|여제 ~인바라투라~|9|6|8|0|0|0|0|0|0||||||
行かないでイカロス|가지 말아줘 이카로스|9|6|8|0|0|0|0|0|0||||||
ALiVE||9|6|6|0|0|0|0|0|0||||||
ナマハゲノウタ|나마하게의 노래|9|7|8|0|0|0|0|0|0||||||
ツンデレcafeへようこそ☆|츤데레cafe에 어서오세요☆|9|7|8|0|0|1|0|0|0||||||
Star||9|7|5|3|1|0|0|0|0||||||
ドキドキ胸きゅん おまつりタイム|두근두근 심쿵 축제 타임|9|7|8|0|0|0|0|0|0||||||
月影SASURAI|달빛SASURAI|9|7|8|0|1|0|0|0|0||||||
Night and Day||9|7|5|0|0|0|0|0|0||||||
ワールズエンド・ダンスホール|월즈 엔드 댄스홀|9|7|4|0|0|0|0|0|0||||||
リッジでリッジでGO!GO!GO!||9|7|5|0|0|0|0|0|0||||||
ギガンティックO.T.N|기간틱 O.T.N|9|7|4|0|0|0|0|0|0||||||
いっそこのままで|차라리 이대로|9|7|8|0|0|0|0|0|0||||||
らいとにんぐ　ぱっしょん|라이트닝 패션|9|7|8|0|1|0|0|0|0||||||
サンバ アレグリーア|삼바 알레그리아|9|7|8|0|1|0|0|0|0||||||
凛|린|9|7|8|0|0|0|0|0|0||||||
戦国三弦【玄人】|전국삼현 [현인]|9|7|8|0|0|0|0|0|0||||||
Red Rose Evangel||9|7|8|0|0|0|0|0|0||||||
ひよっこファンタジー|병아리 판타지|9|7|8|0|0|0|0|0|0||||||
オーディオ de カッ！|오디오 de 캇!|9|7|8|0|0|0|1|0|0||||||
めたるぽりす|메탈 폴리스|9|7|8|0|0|0|0|0|0||||||
ヌムジカac.10|눔지카ac.10|9|7|8|0|0|1|0|0|0||||||
ミツボシ☆☆★|세 개의 별☆☆★|9|7|5|3|0|0|0|0|0||||||
ナイト・オブ・ナイツ|나이트 오브 나이츠|9|7|6|0|0|0|0|0|0||||||
WARNING×WARNING×WARNING||9|7|6|0|0|0|0|0|0||||||
マリオネットピュア|마리오네트 퓨어|9|7|8|0|0|0|0|0|0||||||
Hyper Bass||9|7|6|0|0|0|0|0|0||||||
Xa||9|7|8|0|0|0|0|0|0||||||
さんぽ|산책|9|7|2|3|0|1|0|0|0||||||
アルムジカac14.0V|아룸지카ac14.0V|9|7|8|0|0|0|0|0|0||||||
Leviathan||9|7|5|0|0|0|0|0|0||||||
ラパスの虹|라파스의 무지개|9|7|8|0|0|1|0|0|0||||||
1・2・さんしのでドンドカッカッ！|1·2·셋 넷에 동도캇캇!|9|7|8|0|0|0|0|0|0||||||
花漾～Flourishing Blossoms～|화양|9|7|8|0|1|0|0|0|0||||||
conflict||9|7|8|0|0|0|0|0|0||||||
百鬼夜行【玄人】|백귀야행 [현인]|9|7|8|0|0|0|0|0|0||||||
わんにゃーワールド|왕냐월드|9|7|4|8|0|0|0|0|0||||||
百鬼夜行【達人】|백귀야행 [달인]|9|7|8|0|0|0|0|0|0||||||
戦国三絃【達人】|전국삼현 [달인]|9|7|8|0|0|0|0|0|0||||||
白鳥の湖～still a duckling～|백조의 호수|9|7|7|8|0|0|0|0|0||||||
ケチャドン2000【普通】|케챠동 2000 [보통]|9|7|8|0|0|0|0|0|0||||||
螺旋周回軌道|나선 주회 궤도|9|7|8|0|0|0|0|0|0||||||
仙酌絶唱のファンタジア|선작 절창의 판타지아|9|7|6|0|0|0|0|0|0||||||
スポーツダイジェスドン||9|7|8|0|1|0|0|0|0||||||
タイコタイム|태고 타임|9|7|8|0|0|0|0|0|0||||||
合唱スタボーフェ！|합창 스타보페!|9|7|8|0|0|0|0|0|0||||||
隼|준|9|7|8|0|0|0|0|0|0||||||
ラッスンゴレライ|랏슨고레라이|9|7|6|0|0|0|0|0|0||||||
神様の言うとおりに|신이 말하는 대로|9|8|1|0|1|0|0|0|0||||||
天妖ノ舞|천요의 춤|9|8|8|0|0|0|0|0|0||||||
ウキウキオトッペ|우키우키 오톳페|9|8|2|0|0|1|0|0|0||||||
電子ドラムの達人|전자드럼의 달인|9|8|8|0|0|0|0|0|0||||||
Shine!!||9|8|5|3|1|0|0|0|0||||||
ウサテイ|우사테이|9|8|6|0|0|0|0|0|0||||||
忘却のティルナノグ|망각의 티르 나 노그|9|8|8|0|0|0|0|0|0||||||
Shining Lights||9|8|6|0|0|1|0|0|0||||||
エイリアンエイリアン|에일리언 에일리언|9|8|4|0|0|0|0|0|0||||||
百鬼夜行【普通】|백귀야행 [보통]|9|8|8|0|0|0|0|0|0||||||
つながれ！ひろがれ！打ち上がれ！|이어져라! 퍼져라! 소아올려라!|9|8|8|0|0|0|0|0|0||||||
キラメキラリ|키라메키라리|9|8|5|0|0|0|0|0|0||||||
チェインクロニクル 総力戦メドレー|체인 크로니클 총력전 메들리|9|8|5|0|1|0|0|0|0||||||
旋風ノ舞 【地】|선풍의 춤 [지]|9|8|8|0|0|0|0|0|0||||||
Tulip||9|8|5|3|1|0|0|0|0||||||
花オト裏拍子|화음 뒷장단|9|8|4|8|0|0|0|0|0||||||
真・画竜点睛【達人】|진·화룡점정 [달인]|9|8|8|0|0|0|0|0|0||||||
真・画竜点睛【玄人】|진·화룡점정 [현인]|9|8|8|0|0|0|0|0|0||||||
一世風靡【玄人】|일세풍미 [현인]|9|8|8|0|0|0|0|0|0||||||
ワタリドリ|철새|9|8|1|0|0|0|0|0|0||||||
アントニオ|안토니오|9|8|8|0|0|0|0|1|0||||||
一世風靡【普通】|일세풍미 [보통]|9|8|8|0|0|0|0|0|0||||||
戦国三弦【普通】|전국삼현 [보통]|9|8|8|0|0|0|0|0|0||||||
真・画竜点睛【普通】|진·화룡점정 [보통]|9|8|8|0|0|0|0|0|0||||||
真・画竜点睛【達人】|진·화룡점정 [달인]|9|8|8|0|1|0|0|0|0||||||
Many wow bang!||9|8|8|0|1|0|0|0|0||||||
夢と現実の境界線|꿈과 현실의 경계선|9|8|8|0|0|0|0|0|0||||||
Diver||9|8|5|0|0|0|0|0|0||||||
SHOGYO MUJO【普通】||9|8|5|0|0|0|0|0|0||||||
待ち受けプリンス|기다리는 프린스|9|8|5|3|0|0|0|0|0||||||
ミーナのおやしき|미나의 저택|9|8|8|0|0|0|0|0|0||||||
ヘ調の協奏曲 第3楽章|피아노 협주곡 제 3장|9|8|7|0|0|0|0|0|0||||||
真・画竜点睛【普通】|진·화룡점정 [보통]|9|8|8|0|1|0|0|0|0||||||
真・画竜点睛【玄人】|진·화룡점정 [현인]|9|8|8|0|1|0|0|0|0||||||
Wish upon a shooting star||9|8|5|0|0|0|0|1|0||||||
彼は誰時の誘惑|새벽녘의 유혹|9|8|8|0|0|1|0|0|0||||||
