title|sub_title|level|ranked|genre1|genre2|is_ura|individual|first_play|full_combo|do_jo
サクリファイス|새크리파이스|8|4|3|1|0|0|0|0|0
ニジイロバトン|니지이로 바톤|8|4|8|0|0|0|0|0|0
電車で電車でOPA!OPA!OPA! -GMT mashup-|전차로 전차로 OPA! OPA!|8|4|5|0|0|0|0|0|6
MATSURI D／A||8|4|8|0|0|0|0|0|0
めざせポケモンマスター -20th Anniversary-|노려라 포켓몬 마스터|8|4|2|3|1|0|0|0|0
冬竜 ～Toryu～|동룡|8|4|8|0|0|1|0|0|0
カナデア|카나데아|8|4|8|0|0|0|0|0|0
美しく忙しきドナウ|아름답고 바쁜 도나우|8|4|7|8|0|0|0|0|0
大打音|대타음|8|4|5|0|0|1|0|0|0
Freeway3234||8|4|8|0|0|0|0|0|0
Choco Chiptune.||8|4|8|0|0|0|0|0|0
夏竜 ～Karyu～|하룡|8|4|8|0|0|0|0|0|0
令・和太鼓|레이·와타이코|8|4|8|0|0|1|0|0|0
クルクルクロックル|쿠루쿠루쿠로쿠루|8|4|8|0|0|1|0|1|0
クープランの墓|쿠프랭의 무덤|8|4|7|8|0|1|0|0|0
Help me, ERINNNNNN!!||8|4|6|0|0|0|0|0|0
Ladystar Wandering||8|4|6|0|0|0|0|0|0
Donder Time||8|4|8|0|0|0|0|0|0
SORA-Ⅰ アースライズ|SORA-Ⅰ 어스라이즈|8|4|8|0|0|0|0|0|5
ボクハシンセ|나는 신스|8|4|8|0|0|1|0|0|0
URBAN FRAGMENTS||8|4|5|0|0|0|0|0|0
限界突破×サバイバー|한계돌파×서바이버|8|4|2|3|1|0|0|0|0
エゴエゴアタクシ|에고에고아타쿠시|8|4|8|0|0|0|0|0|0
画竜点睛【達人】|화룡점정 [달인]|8|4|8|0|0|0|0|0|0
テオ|테오|8|4|4|0|0|0|0|0|0
風の国の龍と騎士|바람 나라의 용과 기사|8|4|8|0|0|0|0|0|0
チェインクロニクル 最終決戦メドレー|체인크로니클 최종 결전 메들리|8|4|5|0|0|0|0|0|0
レトロマニア狂想曲|레트로 마니아 환상곡|8|4|4|0|0|0|0|0|0
全力バタンキュー|전령 꽈당큐|8|4|3|0|0|0|0|0|0
百花繚乱【達人】|백화요란 [달인]|8|4|8|0|0|0|0|0|0
super star shooter||8|4|8|0|0|0|0|0|0
Endless Seeker||8|4|6|0|0|0|0|0|0
ドルアーガの塔メドレー|드루아가의 탑 메들리|8|4|5|0|0|0|0|0|0
脳漿炸裂ガール|뇌장작렬 걸|8|4|4|0|0|0|0|0|0
桜花爛漫【玄人】|앵화난만 [현인]|8|4|8|0|0|0|0|0|0
画竜点睛【普通】|화룡점정 [보통]|8|4|8|0|0|0|0|0|0
紅蓮の弓矢|홍련의 화살|8|4|3|0|0|0|0|0|0
Dream Tide -夢の潮流-|Dream Tide -꿈의 조류-|8|4|8|0|0|0|0|0|0
宇宙SAMURAI|우주SAMURAI|8|4|8|0|0|0|0|0|0
風のファンタジー|바람의 판타지|8|4|8|0|0|0|0|0|0
黒船来航【達人】|흑선내항 [달인]|8|4|8|0|0|0|0|0|0
廻廻奇譚|회회기담|8|4|3|1|0|0|0|0|0
BORDERLESS||8|4|4|0|0|0|0|0|0
月下美人【普通】|월하미인 [보통]|8|4|8|0|0|0|0|0|0
サーフサイド・サティ|서프사이드 새티|8|4|7|0|0|0|0|0|0
チルノのパーフェクトさんすう教室|치르노의 퍼펙트 산수교실|8|4|6|0|0|0|0|0|0
DON'T CUT||8|5|8|0|0|0|0|0|0
ハイスペックニート|하이스펙 니트|8|5|4|5|0|0|0|0|0
千本桜|천본앵|8|5|4|0|1|0|0|0|0
黒船来航【玄人】|흑선내항 [현인]|8|5|8|0|0|0|0|0|0
Abyss of hell||8|5|5|0|0|0|0|0|5
Scream out!||8|5|6|0|0|0|0|0|0
百花繚乱【玄人】|백화요란 [현인]|8|5|8|0|0|0|0|0|0
画竜点睛【玄人】|화룡점정 [현인]|8|5|8|0|0|0|0|0|0
トオリヨ|토오리요|8|5|4|8|0|0|0|0|0
リバイバー|리바이버|8|5|8|0|0|0|0|0|0
グラーヴェ|그라베|8|5|4|0|0|0|0|0|0
命に嫌われている。|생명에게 미움받고 있어.|8|5|4|0|1|0|0|0|0
深緋の心臓|심비의 심장|8|5|6|0|0|0|0|0|0
前前前世|전전전세|8|5|3|1|0|0|0|0|0
にんじんにん|닌진닌|8|5|4|8|0|0|0|0|0
決戦!!|결전!!|8|5|5|0|0|0|0|0|0
もしもし神様|여보세요 신님|8|5|8|4|0|0|0|0|0
シューガク トラベラーズ|수학 여행자들|8|5|8|0|0|0|0|0|0
Never say never||8|5|5|3|0|0|0|0|0
エンジェル ドリーム(デレマス)|엔젤 드림|8|5|5|3|0|0|0|0|0
エンジェル ドリーム|엔젤 드림|8|5|8|0|0|0|0|0|0
フューチャー・ラボ|퓨처 랩|8|5|8|0|0|0|0|0|0
僕らは今のなかで|우리는 지금 여기서|8|5|3|0|0|0|0|0|0
カレ・カノ・カノン|카레·카노·카논|8|5|7|8|0|0|0|0|0
カウントダウン|카운트다운|8|5|2|3|0|0|0|0|0
明星ロケット|명성 로켓|8|5|6|0|0|0|0|0|0
リスドンヴァルナの黄昏|리스 돈바르나의 황혼|8|5|8|0|0|0|0|0|0
電車で電車でGO!GO!GO!GC!||8|5|5|0|0|0|0|0|0
バーニングフォースメドレー|버닝 포스 메들리|8|5|5|0|0|0|0|0|0
愛想笑い|억지 웃음|8|5|8|0|0|0|0|0|0
魔法の喫茶店|마법의 찻집|8|5|8|0|0|0|0|0|0
キミと響くハーモニー|너와 울리는 하모니|8|5|8|0|1|0|0|0|0
風雲志士【達人】|풍운지사 [달인]|8|5|8|0|0|0|0|0|0
乙女解剖|소녀해부|8|5|4|0|1|0|0|0|0
零の交響曲|영의 교향곡|8|5|8|0|0|0|0|0|0
ねがいごと★ぱずる|소원★퍼즐|8|5|8|0|0|0|0|0|0
道化師の朝の歌|어릿광대의 아침 노래|8|5|7|8|0|0|0|0|0
パステル ドリーム|파스텔 드림|8|5|8|0|0|0|0|0|0
Unite The Force||8|5|5|0|0|0|0|0|0
名乗り（天上）|나노리 (천상)|8|5|5|0|0|0|0|0|0
KAGEKIYO||8|5|5|0|0|0|0|0|0
Hold me tight||8|5|8|0|0|0|0|0|0
星のカービィメドレー|별의 커비 메들리|8|5|5|2|0|0|0|0|0
風雲志士【玄人】|풍운지사 [현인]|8|5|8|0|0|0|0|0|0
ハロー！ ハロウィン|헬로! 할로윈|8|5|8|0|0|0|0|0|0
残酷な天使のテーゼ|잔혹한 천사의 테제|8|5|3|0|1|0|0|0|0
ドラマツルギー|드라마트루기|8|5|1|0|1|0|0|0|0
夢幻の蒼空|몽환의 창공|8|5|8|0|0|0|0|0|0
竜と黒炎の姫君|용과 흑염의 공주|8|5|8|0|0|0|0|0|0
夢色コースター|꿈빛 코스터|8|5|8|0|0|0|0|0|0
テイルズ オブ ジ アビス|테일즈 오브 디 어비스|8|5|5|0|0|0|0|0|0
Ridge Racer||8|5|5|0|0|0|0|0|4
Lightning Dance||8|5|5|0|0|0|0|0|0
No Way Back||8|5|5|0|0|0|0|0|0
SAMURAI ROCKET||8|5|5|0|0|0|0|0|0
ボクらのまえに道はある|우리 앞에 길은 있다|8|5|8|0|0|0|0|0|0
和有るど経りて維持・序|월드 헤러티지·서(세계 유산)|8|5|8|0|0|0|0|0|0
ナックルヘッズ|너클 헤즈|8|5|5|0|0|0|0|0|0
和蘭撫子|카네이션|8|5|8|0|0|0|0|0|0
らんぶる乱舞|럼블 난무|8|5|8|0|0|0|0|0|5
NECOLOGY||8|6|8|0|0|0|0|0|0
Good-bye my earth||8|6|5|0|0|0|0|0|0
ドン・エンガスの笛吹き|돈·엔가스의 피리 부는 소리|8|6|8|0|0|0|0|0|0
「ルスランとリュドミラ」序曲|「루슬란과 류드밀라」서곡|8|6|7|0|0|0|0|0|0
ゆれるプリーツ実行委員|흔들리는 플리츠 실행위원|8|6|8|0|0|0|0|0|0
恋はドント・ダウト|사랑은 don't doubt|8|6|8|0|0|0|0|0|0
BLUE TOPAZ||8|6|5|0|0|0|0|0|0
チェインクロニクル 通常バトルメドレー|체인크로니클 통상배틀 메들리|8|6|5|0|0|0|0|0|0
Saika||8|6|5|0|0|0|0|0|0
トータル・エクリプス 2035|토탈 이클립스 2035|8|6|8|0|0|0|0|0|0
迅風丸|진풍환|8|6|8|0|0|0|0|0|0
Amanda||8|6|8|0|0|0|0|0|0
おしえて くまとも|가르쳐줘 쿠마토모|8|6|5|0|0|0|0|0|0
shiny smile||8|6|5|3|0|0|0|0|0
いただきバベル|꼭대기 바벨|8|6|6|0|0|0|0|0|0
アサルト BGM1|어썰트 BGM1|8|6|5|0|0|0|0|0|0
さくらんぼ|사쿠란보|8|6|1|0|0|0|0|0|0
カノン (シンクロニカ Remix)|캐논 (싱크로니카 Remix)|8|6|5|0|0|0|0|0|0
流浪の琥珀姫|유랑의 호박공주|8|6|8|0|0|0|0|0|0
Phantom Rider||8|6|8|0|0|0|0|0|3
ブルちゃんのおや2|브루짱의 간식2|8|6|8|0|0|1|0|0|0
GOIN’!!!||8|6|5|3|1|0|0|0|0
夜想曲Op.9-2|야상곡 op.9-2|8|6|7|8|0|0|0|0|0
マジで…！？|실화냐…!?|8|6|5|3|0|0|0|0|0
豊穣弥生|풍양미생|8|6|8|0|0|0|0|0|0
THE IDOLM@STER||8|6|5|3|0|0|0|0|0
見たこともない景色|본 적도 없는 경치|8|6|1|0|1|0|0|0|0
KING||8|6|4|0|0|0|0|0|0
蓄勢 ～GEAR UP～|축세|8|6|8|0|1|0|0|0|0
きみのあかり|너의 불빛|8|6|8|0|1|0|0|0|0
桜花爛漫【普通】|앵화난만[보통]|8|6|8|0|0|0|0|0|0
ルカルカ★ナイトフィーバー|루카루카★나이트 피버|8|6|4|0|0|0|0|0|0
ハッピーウェディング前ソング|해피 웨딩 전 노래|8|6|1|0|1|0|0|0|0
百花繚乱【普通】|백화요란 [보통]|8|6|8|0|0|0|0|0|0
ゴッドソング|갓송|8|6|1|0|0|0|0|0|0
季曲 ～Seasons of Asia～|계곡|8|6|8|0|1|0|0|0|0
泡沫、哀のまほろば|물거품, 슬픔의 전경|8|6|6|0|0|0|0|0|0
マツヨイナイトバグ|마츠요이 나이트버그|8|6|6|0|0|0|0|0|0
コナモノ☆|코나모노☆|8|6|8|0|0|0|0|0|0
Paradisus-Paradoxum||8|6|3|0|0|0|0|0|0
黒船来航【普通】|흑선내항 [보통]|8|6|8|0|0|0|0|0|0
夢と希望|꿈과 희망|8|6|5|0|0|0|0|0|0
幻想に咲いた花|환상에 피어난 꽃|8|6|6|0|0|0|0|0|0
曙光 ～Dawn～|서광|8|6|8|0|1|0|0|0|0
だれかの心臓になれたなら|누군가의 심장이 될 수 있다면|8|6|4|0|0|0|0|0|0
RAGE v.self||8|6|5|0|0|0|0|0|0
乱数調整のリバースシンデレラ|난수 조정의 리버스 신데렐라|8|6|1|0|0|0|0|0|0
本能寺の変|혼노지의 변|8|6|6|0|0|0|0|0|0
Connected World||8|6|6|0|0|0|0|0|0
限界クリエイター応援歌|한계 크리에이터 응원가|8|6|8|0|0|0|0|0|0
RAINMAKER||8|6|6|0|0|0|0|0|0
ベノム|베놈|8|6|4|0|0|0|0|0|0
ヒバナ|불꽃|8|6|4|0|0|0|0|0|0
二人の結晶|두 사람의 결정|8|6|6|0|0|0|0|0|0
バトル‐電光石火‐|배틀 -전광석화-|8|6|5|0|0|0|0|0|0
いーあるふぁんくらぶ|이얼 판클럽|8|7|4|0|0|0|0|0|0
ライコタイコディスコ|라이코 타이코 디스코|8|7|6|0|0|0|0|0|0
ほうかご☆マジシャン|방과후☆매지션|8|7|8|0|0|0|0|0|0
シュガーソングとビターステップ|슈가송과 비터스텝|8|7|1|3|0|0|0|0|0
ブレイクライン|브레이크 라인|8|7|8|0|0|0|0|0|4
Bad Apple!! feat.nomico||8|7|6|0|0|0|0|0|0
チューリングラブ|튜링 러브|8|7|1|3|0|0|0|0|0
秒針を噛む|초침을 꺠물다|8|7|1|0|0|0|0|0|0
輝きを求めて|빛을 찾아서|8|7|8|0|0|0|0|0|4
シャルル|샤를|8|7|4|0|0|0|0|0|0
にんじゃりばんばん|닌쟈리 방방|8|7|1|0|0|0|0|0|0
太鼓乱舞 皆伝【普通】|태고난무 개전 [보통]|8|7|8|0|0|0|0|0|0
夜に駆ける|밤을 달리다|8|7|1|0|0|0|0|0|0
綻放 ～Blooming～|탄방|8|7|8|0|1|0|0|0|3
Dragon Night||8|7|1|0|0|1|0|0|0
戦え！T3防衛隊～GDI mix～|싸워라! T3방위대|8|7|5|0|0|0|0|0|0
亡き王女のためのパヴァーヌ|죽은 왕녀를 위한 파반느|8|7|7|8|1|0|0|0|0
Day by Day!||8|7|8|0|0|0|0|0|0
Favorite Days||8|7|6|0|0|0|0|0|0
ゴーストルール|고스트 룰|8|7|4|0|0|0|0|0|0
駆け抜けてゆく|달음박질해 가다|8|7|5|0|0|0|0|0|0
タベテモタベテモ|먹어도 먹어도|8|7|8|0|0|0|0|0|0
月影SASURAI|달빛SASURAI|8|7|8|0|0|0|0|0|0
色は匂へど散りぬるを|향기로운 꽃도 언젠간 지는 법|8|7|6|0|0|0|0|0|0
光る闇|빛나는 어둠|8|7|5|0|0|0|0|0|0
Thank You!||8|7|5|0|0|0|0|0|0
SMOKY THRILL||8|7|5|3|0|0|0|0|0
Altale||8|7|6|0|0|1|0|0|0
Synchronicity||8|7|5|0|0|0|0|0|0
白日|백일|8|7|1|0|0|0|0|0|0
アイ MUST GO！|아이 MUST GO!|8|7|5|3|0|0|0|0|0
テーマ・オブ・半沢直樹 ～Main Title～|Theme of 한자와 나오키|8|7|6|0|0|1|0|0|0
うっせぇわ|시끄러워|8|7|1|0|0|0|0|0|0
PaPaPa Love||8|7|5|0|0|0|0|0|0
紅蓮華|홍련화|8|7|3|2|0|0|0|0|0
こ・き・く・くる・くる・くれ・こ！|코·키·쿠·쿠루·쿠루·쿠레·코!|8|7|8|0|0|0|0|0|0
パリのアメリカ人|파리의 미국인|8|7|7|0|0|0|0|0|0
RESTART||8|7|1|0|0|0|0|0|0
風雲志士【普通】|풍운지사 [보통]|8|7|8|0|0|0|0|0|0
世界はあなたに笑いかけている|세계는 당신에게 미소 짓고 있어|8|7|1|0|0|0|0|0|0
愛にできることはまだあるかい|사랑이 할 수 있는 일이 아직 있을까?|8|7|3|1|0|1|0|0|0
キレキャリオン|베어라 캐리온|8|8|4|5|0|0|0|0|0
THE IDOLM@STER||8|8|5|3|1|0|0|0|0
太鼓乱舞 皆伝【玄人】|태고난무 개전 [현인]|8|8|8|0|0|0|0|1|0
さよならエレジー|안녕 엘레지|8|8|1|0|0|0|0|0|0
アバみ|아바미|8|8|1|0|0|0|0|0|0
蛻変 ～transformation～|태변|8|8|8|0|1|0|0|0|0
零の夜想曲|영의 야상곡|8|8|8|0|0|0|0|0|0
神様の言うとおりに|신이 말하는 대로|8|8|1|0|0|0|0|0|0
私以外私じゃないの|나 이외엔 내가 아닌거야|8|8|1|0|0|0|0|0|0
I my moko||8|8|1|0|0|0|0|0|0
ヒミツキチューバー|비밀 키즈 유튜버|8|8|2|5|0|0|0|0|0
太陽系デスコ|태양계 디스코|8|8|4|0|0|0|0|0|0
女々しくて|소심하니까|8|8|1|0|0|0|0|0|0
月に叢雲華に風|달에는 떼구름, 꽃에는 바람|8|8|6|0|0|0|0|0|0
三瀬川乱舞|삼도천난무|8|8|8|0|0|0|0|0|0
Mani Mani||8|8|6|0|0|0|0|0|0
めざせポケモンマスター -20th Anniversary-|노려라 포켓몬 마스터|8|8|2|3|0|0|0|0|0
猫|고양이|8|8|1|0|0|0|0|0|0
R.Y.U.S.E.I.||8|8|1|0|0|0|0|0|0
PERFECT HUMAN||8|8|6|0|0|0|0|0|0
まちがいさがし|다른 그림 찾기|8|8|1|0|0|0|0|0|0
君のプラネット|너의 플래닛|8|8|8|0|0|0|0|0|0
GO ON ～未来へ～|GO ON ～미래로～|8|9|8|0|0|0|0|0|0
