곡명|간단|후츠우|무즙|오니|우라
"4+1のそれぞれの未来 SECRET!
太鼓 de タイムトラベル00's / cosMo＠暴走P feat.初音ミク"|5|7|8|10|-
"しょうゆ de Show you!
BNSI（矢野義人） feat.steμ&フナディ"|3|5|7|9|-
"Central Dogma Pt.2
黒沢ダイスケ"|5|6|8|10|-
"パラレルロリポップ
太鼓 de タイムトラベル10's / Sho Okada"|4|6|7|9|-
"テルミービート
キノシタ feat. 鏡音リン"|3|5|6|8|-
"彁 SECRET!
LeaF"|5|7|8|10|-
"傾奇者、罷り通る！ SECRET!
かぼちゃ"|2|4|6|8|-
"あまてらすJK SECRET!
Takahiro Akuta feat. さちこ"|4|4|5|8|-
"赤と白薔薇の魔女 SECRET!
Dokuwaki"|5|7|8|10|-
"LECIEL GLISSANDO SECRET!
よみぃ"|5|6|7|10|-
"YOAKE
Capchii feat. Uzumaki"|4|7|8|10|-
"ひよこ鑑定士さん
立秋 feat.ちょこ"|4|6|8|10|-
"1・2・さんしのでドンドカッカッ！
AIきりたん feat.ユーキヒロセ"|1|1|4|7|9
"VIVIVIVID
M－O－T－U"|3|5|6|10|-
"轟け！太鼓の達人
太鼓 de タイムトラベル20's / steμ×マスブチ×ササオカ feat. 谷本貴義＆たかはし智秋"|2|5|7|8|-
"ニジイロバトン
Ponchi♪ feat.はぁち × Donders"|3|5|6|8|-
"Diving Drive
Tanchiky feat. MuMenkyo."|5|7|8|10|-
"ぺた・PETA！？パンプキン
ゆ～くれ"|4|5|6|9|-
"PONPOKO RHYTHM
Mamyukka"|4|6|6|7|-
"ラパスの虹
LeNoir"|4|7|8|9|10
"星河一天
打打だいず"|4|6|8|10|-
"Stick Trick ShowTime!! SECRET!
みそみぃる"|5|6|8|10|-
"螺旋周回軌道 SECRET!
BlackY feat. Risa Yuzuki"|4|6|7|9|10
"儚姫は原初に舞う SECRET!
Se‐U‐Ra"|4|5|7|10|10
"Vixtory SECRET!
CHUBAY"|5|7|7|10|10
"テトラリュトモスフォビア SECRET!
feat.ルシュカ"|4|5|7|10|-
"Central Dogma Pt.1 SECRET!
黒沢ダイスケ"|5|7|8|10|10
"絡繰廻廊 SECRET!
はるなば"|4|6|8|10|-
wonderful ROUTINE|5|6|8|10|-
"いっそこのままで
feat.相沢"|4|6|7|9|-
"零の交響曲
feat.サリヤ人"|3|4|6|8|10
"Fly again！ SECRET!
feat.谷本貴義"|2|3|4|7|-
限界クリエイター応援歌 SECRET!|3|5|6|8|-
"令・和太鼓 SECRET!
翡翠"|4|4|7|8|-
クラポルポルスカ SECRET!|4|5|7|10|-
エリンギのエクボ SECRET!|5|6|7|8|-
Freeway3234 SECRET!|4|6|7|8|-
愛なんだぜ SECRET!|3|5|7|9|-
"memoria ficta SECRET!
Versus"|4|6|7|10|-
"TOKIMEKI♡ですとろいやー！！
Ayatsugu_Otowa"|4|5|7|9|-
"ペットショップ大戦
chacol feat. Focco"|4|5|7|10|-
わら得る2000|5|7|8|10|-
続・〆ドレー2000|5|7|8|10|-
"幕末維新譚
黒沢ダイスケ × Masahiro ""Godspeed"" Aoki"|5|7|8|10|-
ハロー！どんちゃん|3|5|6|6|-
スクロール・ミカ SECRET!|4|6|7|7|-
GERMINATION SECRET!|5|6|7|7|-
ロボットロケンロー☆ SECRET!|4|4|4|6|-
"ブルちゃんのおや2 SECRET!
腹ペコジャーニー第二章～ブルちゃんのおや2～,,,,,,,,,, もっと食べたい1より（クラシック風）"|4|5|6|8|-
百鬼夜行 SECRET!|5|5|7|9|-
"via lactea SECRET!
feat. 薛南"|3|5|6|7|-
"ナマハゲノウタ SECRET!
feat. DAIKI"|4|6|7|9|-
カッティアワールの宝剣 SECRET!|4|5|7|8|-
クラシックメドレー（ロック編） SECRET!|4|5|8|8|-
エンジェル ドリーム|3|6|7|8|9
ドキドキ胸きゅん おまつりタイム|4|6|6|9|-
"つながれ！ひろがれ！打ち上がれ！
「太鼓の達人 セッションでドドンがドン！」テーマソング"|4|5|7|9|-
"フリフリ♪ノリノリ♪
「太鼓の達人 Nintendo Switchば～じょん！」テーマソング"|3|4|6|7|9
百花繚乱|3|4|5|8|-
"そつおめしき
feat. unmo"|4|6|7|10|-
"星屑ストラック
t＋pazolite"|5|6|7|10|10
"ダンガンノーツ
cosMo＠暴走P"|5|7|8|10|10
メカデス。|4|7|7|7|10
さいたま2000|5|7|7|7|-
はたラク2000|5|7|8|10|-
"森羅万象
削除"|5|7|8|10|-
"UFO Swingin’
シバガキ feat. A.Dokuga"|5|7|8|10|-
流浪の琥珀姫|3|4|5|8|-
"天泣の律
Capchii"|4|6|7|10|-
"サクラ・シークレット
東方Project×NAMCO SOUNDS Taku Inoue 「シンクロニカ」より"|2|4|5|9|-
"音虫をつかまえろ！
KiWi"|3|5|6|9|-
"気焔万丈神楽
ぺのれり"|5|7|8|10|-
"コネクトカラーズ
Ponchi♪ feat.はぁち"|4|6|7|10|-
"カラフルボイス
cosMo＠暴走P feat.初音ミク・GUMI"|5|7|7|9|10
"モノクロボイス
cosMo＠暴走P feat.初音ミク・GUMI"|4|6|7|10|10
"疾風怒濤
xi"|5|7|8|10|10
"What’s in the box？
Ujico＊"|3|5|7|10|-
"和有るど経りて維持・序
feat.団地ノ宮弥子"|3|5|7|8|-
"デッド・オア・ダイ
REDALiCE"|5|7|8|10|-
"或ル不和
aran"|4|7|8|10|-
"Dragoon
Massive New Krew"|4|6|7|9|-
"こ・き・く・くる・くる・くれ・こ！
諸星なな・加藤はるか"|3|4|6|8|-
"トラストゲーム
feat.SaChi（harineko）"|5|6|6|9|-
"あの日出会えたキセキ
溝口ゆうま feat.大瀬良あい miko"|4|6|7|10|-
"キューティー☆デモニック☆魔人エモ!!
溝口ゆうま feat.大瀬良あい"|5|7|8|10|-
"頂
CHUBAY"|5|7|8|10|-
"ユースフルコースター
U‐ske feat. かずらなつ"|4|6|7|9|-
"GO GET’EM！
寺島怜志"|4|7|8|9|9
"ARMAGEΔDON
BlackY"|5|7|8|10|-
"カラフル
しょご/野村渉悟"|4|7|8|10|-
"うちゅうひこうし冒険譚
しょご/野村渉悟"|4|7|8|10|-
"λ7708
Taiji"|5|7|8|10|-
"Caribbean Knight
Taiji"|5|7|7|10|-
"Toon Town’s Toys’ Tune
Retropolitaliens"|4|5|6|10|-
"まるくてはやくてすさまじいリズム
立秋 feat.ちょこ"|5|7|8|10|-
"にゃーにゃーにゃー
立秋 feat.ちょこ"|4|6|7|10|-
"EterNal Ring
museo"|4|6|7|10|-
"Coquette
Jun Kuroda"|5|7|8|10|-
CYBERgenicALICE|4|5|6|9|-
"シャイニング☆アブラカタブラ
～阿羅仁＆マジカルランプ姫～"|3|4|6|9|-
マジカル・パフェ|4|7|8|9|-
マオウのショウタイム|4|6|7|9|-
"トイマチック☆パレード!!
DJ Genki"|5|7|8|10|-
"ラヴ♡スパイス♡ライクユー!!!
DJ Genki feat.ななひら,yukacco,藍月なくる"|4|7|8|10|-
"よーいドン！
feat. Kiddish"|4|6|7|10|-
愛と浄罪の森|5|7|8|10|-
Blessed Bouquet Buskers|4|5|6|10|-
"OK I’m blue rat
E.G.G."|4|6|8|10|-
ハンロック|4|6|7|10|-
"コナモノ☆
郷 拓郎"|4|5|6|8|-
黒神クロニクル|3|4|6|7|-
"星屑とリニアと僕
feat.結羽(プラムソニック)"|4|5|5|8|-
"タイムトラベラー
伊東歌詞太郎"|2|3|4|6|-
"鏡の国のアリス
伊東歌詞太郎"|3|4|5|6|-
"8OROCHI
REDALiCE"|5|7|8|10|10
うさぎのしっぽ|3|4|5|7|-
"Asteroid
KORG Gadget Kamata デモソング"|5|7|8|9|-
三瀬川乱舞|4|5|7|8|10
ガンスリンガーシンデレラ|5|6|7|9|-
願いはエスペラント|4|6|6|7|-
"さよならワーリャ
未来古代楽団 feat.霜月はるか"|4|5|7|9|-
"UNDEAD HEART(怒りのWarriors)
坂本英三×高濱祐輔"|5|7|8|10|-
竜と黒炎の姫君|4|6|7|8|10
"そつおめしき2ばん
feat. unmo"|4|6|7|10|-
No Gravity|4|6|7|10|-
"VICTORIA
Cranky"|5|7|8|10|-
天狗囃子|4|7|7|9|-
夢と現実の境界線|4|6|7|9|-
"アントニオ
ゆるめるモ！"|4|6|6|9|-
美しく忙しきドナウ|4|4|6|8|10
"ほうかご☆マジシャン
まりんべーす"|4|6|6|8|-
マリオネットピュア|4|5|7|9|-
"恋幻想（Love Fantasy）
HONOKA"|4|6|6|8|-
"カグツチ
Massive New Krew"|4|6|7|9|-
"KUSANAGI
aran"|5|6|7|9|-
黄泉のイザナミ|4|6|7|8|-
"オール・イン・マイハート
ソメイヨシノ feat. 高木美佑 (Wake Up, Girls！)"|5|7|8|9|-
Heaven’s Rider|5|6|8|9|-
てんびん座急行 夜を行く|5|6|7|8|-
"輝きを求めて
Versus"|5|6|6|8|-
"Choco Chiptune.
Ancraft"|4|6|7|8|-
"凛
a_hisa"|3|4|6|9|-
"食らいむ！まうんとぱふぇ
unatra"|3|6|8|9|-
"トオリヨ
テヅカ feat.鏡音リン・鏡音レン"|3|5|6|8|-
"もしもし神様
テヅカ feat.鏡音リン・鏡音レン"|3|5|6|8|-
"超絶技巧系少女
ねこかぶりサイクロン(xi＋ねこみりん)"|5|6|7|10|-
"SstTAarR*
M‐O‐T‐U feat.初音ミク"|5|7|8|10|-
"おにぎりはどこかしら♪
よみぃ feat.初音ミク"|5|7|8|9|-
"ココロボ
Ujico＊"|3|4|6|10|-
"ネテモネテモ
☆しょーじ☆ feat.ほのか♡えりか"|3|6|6|8|-
"タベテモタベテモ
☆しょーじ☆ feat.ほのか♡えりか"|3|6|7|8|-
"ひよっこファンタジー
つよみー"|5|6|7|9|-
"アサガオ
BTB"|4|5|7|10|-
"冷凍庫CJ ～嗚呼面太鼓ブラザーズ～
DJKurara"|5|7|8|10|-
"Gloria
K.key"|5|7|7|10|-
プチポチ|5|7|8|10|-
チャーリー ダッシュ！|4|7|8|10|-
女帝 ～インバラトゥーラ～|4|7|8|9|-
魔方陣 ‐サモン・デルタ‐|4|6|7|9|-
千鼓千鼓|4|6|8|9|-
"EDY ‐エレクトリカルダンシングヨガ‐
feat.鏡音リン・鏡音レン"|4|6|7|9|-
"東京ソーダ 8Bit Edit
ヒゲドライVAN"|4|5|7|8|-
Day by Day！|3|5|7|8|-
"闇の魔法少女
Silver Forest feat.アキ"|4|6|6|9|-
"夢幻の蒼空
Silver Forest feat.SAYA"|3|5|6|8|-
がしゃどくろ|5|6|7|8|-
セイクリッド ルイン|5|6|7|9|10
"ピコピコ ルイン
セイクリッド ルイン × サカモト教授"|5|6|7|9|10
"カラメルタイム☆
たんきゅん"|4|4|6|8|-
"電子ドラムの達人
ふぇのたす"|4|6|7|9|-
弩蚊怒夏|5|7|8|10|-
"ぷるぷるしんぷる
Her Ghost Friend"|4|5|7|8|-
"super star shooter
blue marble"|4|6|7|8|-
魔法の喫茶店|3|4|5|8|-
Amanda|3|4|5|8|-
鳳凰天舞無限崩れ|4|5|7|9|-
少女の神の粒子|4|5|7|9|-
アレキサンダーのテーマ|4|5|8|8|-
"合唱スタボーフェ！
with たま☆たい feat.団地ノ宮"|4|6|6|9|-
"シューガク トラベラーズ
うちやえゆか"|4|5|5|8|-
"郢曲／暁闇
東方Project×NAMCO SOUNDS LindaAI‐CUE"|3|5|8|10|-
"深緋の心臓 ‐SCARLET HEART‐
東方Project×NAMCO SOUNDS kyo feat.あさな（IOSYS）"|3|5|6|8|-
"ライコタイコディスコ
東方Project×NAMCO SOUNDS 渡辺量"|3|5|5|8|-
"Ladystar Wandering
東方Project×NAMCO SOUNDS 中鶴潤一"|4|6|7|8|-
"ナツモノ☆
たんきゅんデモクラシー"|3|4|6|6|-
"ゆれるプリーツ実行委員
feat.団地ノ宮弥子"|4|6|7|8|-
うそうそ時|4|5|7|8|-
"時空庁時空1課
feat. unmo"|4|6|8|9|-
"時空庁捜査2課
feat. 沙知（ハリネコ）"|4|6|7|8|-
ねぇ教えて|4|5|6|7|-
"Calculator
M－O－T－U"|4|7|8|10|-
"Hurtling Boys
さだきち イシカダス"|5|7|8|10|-
"D′s Adventure Note
暖＠よみぃ"|5|7|8|10|-
"大空と太鼓の踊り
paraμ"|4|6|8|9|-
"ツンデレCafeへようこそ☆
ねこじゃが*"|4|6|7|9|-
"DEBSTEP！
やじゅ"|5|7|8|10|-
"夜櫻ブレヰダアズ
ぽんきち"|5|7|8|9|-
"化物月夜
くにきち"|5|6|8|8|-
"Eternal bond
リューイッティ feat.GUMI"|5|6|8|8|-
"重金属フューギティブ
リューイッティ feat.GUMI"|4|6|7|10|-
"ドキドキ恋の予感！？
Noriyuki feat.GUMI"|3|4|5|7|-
"にんじんにん
豊永ごんたP feat.GUMI"|3|4|5|8|-
オレサマパイレーツ|3|5|6|8|-
"テルミン狂想曲
第42楽章「悲愴」"|4|6|6|7|-
ミーナのおやしき|4|5|7|9|-
おばけのお仕事|4|5|4|6|-
"Dream Tide
－夢の潮流－"|3|5|7|8|-
豊穣弥生|4|6|7|8|-
クルクルクロックル|3|4|5|8|-
"トータル・エクリプス 2035
～少女の時空皆既日食～"|4|5|6|8|-
ナイトメア・サバイバー|4|6|7|8|10
Phoenix|4|5|6|7|-
3piece-JazzParty！|4|5|7|9|-
風の国の龍と騎士|4|5|7|8|-
DIMENSIONS|4|6|8|9|-
和蘭撫子|4|5|6|8|-
恋の処方箋|3|5|5|7|-
ボクハシンセ|3|3|4|8|-
junction|4|5|6|9|-
ソードバトラーズ|4|6|6|7|9
"希望へのメロディー
「太鼓の達人 Vバージョン」テーマソング"|3|3|6|7|-
"キミと響くハーモニー
「太鼓の達人 ちびドラゴンと不思議なオーブ」テーマソング"|3|4|5|6|8
"超時空アドベンチャー
「太鼓の達人 どんとかつの時空大冒険」テーマソング"|4|5|5|6|-
"世界はいつでもミステリー
「太鼓の達人 ドコドン！ミステリーアドベンチャー」テーマソング"|4|4|5|7|-
ファミレスウォーズ|2|4|5|8|-
Phantom Rider|4|6|7|8|9
Fly away|4|5|5|7|-
忍者は最高|3|4|5|7|-
渚のアンドロメダ|4|4|5|8|-
初音ミクの消失‐劇場版‐|5|7|8|9|10
"ダンバ・ダンバ・ディン・ダン
by YMCK"|5|6|7|8|-
隼|5|7|8|9|-
カナデア|5|7|8|8|-
MATSURI D／A|5|7|8|8|-
My Mine|4|5|4|6|-
Growing Up|3|5|5|6|-
リバイバー|3|4|5|8|-
オールナイトdeインデナイ|3|4|6|7|-
ラーメン de Yo‐Men!!|4|4|5|7|-
"オーディオ de カッ！
音響サスペンスドラマ「オーディオ刑事」より"|4|4|6|9|-
想いを手に願いを込めて|4|5|5|7|-
ヘイ，ミスタープロフェッサー|3|4|6|7|-
犬吠える|4|5|5|6|-
久遠の夜|4|5|6|8|-
地平線のエオリア|4|6|7|7|-
The Magician’s Dream|4|6|7|8|-
マーブルハート|3|5|5|6|-
零の夜想曲|4|6|6|8|9
零の狂詩曲|4|6|7|9|-
クロス・ブルー|4|6|7|9|-
ブレイクライン|3|5|7|8|-
"わんにゃーワールド
feat.鏡音リン・鏡音レン starring 下田麻美"|4|5|6|9|-
"亡き王女のためのパヴァーヌ
～きみのこどう～"|3|5|5|6|8
蒼の旋律|4|6|7|9|10
朱の旋律|4|7|8|10|-
虹色・夢色・太鼓色|3|5|4|6|-
太鼓ラブ！|3|2|4|5|-
どん子のファーストデート|4|4|3|4|8
オフ♨ロック|4|6|6|7|-
ゴーゴー・キッチン|5|5|7|7|10
"スポーツダイジェスドン
～Fill in The Sky～"|4|5|6|7|9
サタデー太鼓フィーバー|4|6|8|7|8
未来への鍵|4|6|5|7|-
シャイニング65|4|5|6|7|-
風雲！バチお先生|3|5|6|7|-
迅風丸|3|4|6|8|9
伝説の祭り|3|4|6|7|-
サーフサイド・サティ|5|7|8|8|-
メヌエット|4|7|8|9|-
夜想曲Op.9－2|4|6|7|8|-
幻想即興曲|5|7|8|9|-
カレ・カノ・カノン|3|4|5|8|-
エゴエゴアタクシ|4|7|7|8|-
DON’T CUT|4|7|8|8|9
ユウガオノキミ|3|5|6|7|-
散りゆく蘭の綴る詩|4|6|6|9|-
フューチャー・ラボ|3|4|7|8|-
友情ぽっぷ|4|4|7|6|-
Many wow bang！|4|4|7|7|9
ねがいごと☆ぱずる|3|3|6|8|-
ハロー！ ハロウィン|3|2|6|8|-
練習曲Op.10-4|3|4|8|9|10
めたるぽりす|4|6|7|9|9
クープランの墓|4|7|8|8|-
NECOLOGY|3|5|7|8|-
タイコタイム|5|6|7|9|10
道化師の朝の歌|5|7|7|8|-
Mulberry|4|6|6|7|-
LOVE戦!!|3|5|7|8|-
白猫きゃらめる夢幻のわたあめ|3|5|6|7|-
駄々っ子モンスター|4|5|5|7|-
夢色コースター|4|4|7|8|-
きみのあかり|4|4|5|5|8
君のプラネット|3|5|6|8|-
トッカータとフーガとロック|5|7|8|9|-
"白鳥の湖
～still a duckling～"|4|6|7|9|10
画竜点睛|5|6|7|8|-
真・画竜点睛|4|5|6|9|9
月下美人|4|6|7|8|-
黒船来航|4|5|6|8|-
戦国三弦|4|4|6|9|-
風雲志士|4|5|7|8|-
桜花爛漫|4|6|7|8|-
太鼓乱舞 皆伝|4|5|7|8|-
夜桜謝肉祭|4|6|8|9|10
The Carnivorous Carnival|4|6|7|9|-
"Evidence of evil
AJURIKA"|5|7|8|10|-
"Turquoise Tachometer
AJURIKA"|4|6|8|9|-
"行かないでイカロス
AJURIKA"|3|5|7|9|-
風のファンタジー|4|6|6|8|-
パステル ドリーム|4|6|7|8|-
ドン・エンガスの笛吹き|4|6|7|8|-
ザストゥールの魔導書|3|5|6|8|-
リスドンヴァルナの黄昏|3|5|6|8|-
忘却のティルナノグ|4|5|7|9|-
宇宙SAMURAI|3|6|7|8|-
月影SASURAI|5|6|7|8|9
ヌムジカac.10|3|4|8|9|-
STAGE 0.ac11|5|7|8|9|-
亜空間遊泳ac12.5|5|7|8|9|-
アルムジカac14.0V|4|7|7|9|-
3Q‐4U‐AC00|3|6|4|7|-
SORA‐Ⅰ アースライズ|3|5|7|8|-
SORA‐Ⅱ グリーゼ581|3|3|7|7|-
SORA‐Ⅵ 火ノ鳥|5|5|7|9|-
SORA‐Ⅶ シグナスウォール|4|6|7|10|-
"季曲
～Seasons of Asia～"|3|5|5|7|8
"蓄勢
～GEAR UP～"|3|5|6|7|8
"蛻変
～transformation～"|3|5|6|7|8
"春遊
～happy excursion～"|4|5|6|7|8
"綻放
～Blooming～"|3|5|6|7|8
"花漾
～Flourishing Blossoms～"|3|4|5|7|9
"曙光
～Dawn～"|4|5|7|7|8
"蝶戀
～Obsession～"|3|4|4|7|8
Rotter Tarmination|4|6|7|8|10
dance storm|4|6|6|7|9
ドドンガド～ン|4|5|7|8|10
らんぶる乱舞|4|7|8|8|8
らいとにんぐ ぱっしょん|4|5|6|7|9
サンバ アレグリーア|4|6|6|7|9
燎原ノ舞|4|6|7|10|-
旋風ノ舞【天】|4|5|8|10|10
旋風ノ舞【地】|4|6|7|9|-
天妖ノ舞|3|6|8|9|-
Black Rose Apostle|5|6|8|10|10
White Rose Insanity|5|5|6|7|8
Red Rose Evangel|5|7|7|9|-
Blue Rose Ruin|5|7|8|8|-
Purple Rose Fusion|5|7|8|10|-
"幽玄ノ乱
世阿弥"|5|7|8|10|-
"双竜ノ乱
世阿弥"|5|7|8|10|-
"【双打】 双竜ノ乱
世阿弥"|5|7|8|10|-
"紫煌ノ乱
世阿弥"|5|6|8|10|-
"Xa
Tatsh"|5|6|7|9|10
"天照
Tatsh a.k.a 世阿弥"|4|7|8|10|-
"月読命
Tatsh a.k.a 世阿弥"|5|7|8|10|-
"須佐之男
Tatsh a.k.a 世阿弥"|5|7|8|10|-
"Clotho クロートー
Tatsh feat. 小田ユウ"|5|7|7|10|-
冬竜 ～Toryu～|4|5|7|8|9
春竜 ～Haryu～|4|5|7|8|9
夏竜 ～Karyu～|4|6|7|8|9
秋竜 ～Shiuryu～|4|6|7|9|10
"氷竜 ～Kooryu～
あず♪"|5|7|8|9|10
"花オト裏拍子
はるなば feat.初音ミク"|3|5|6|9|-
"珈琲の味と
はるなば feat.GUMI"|4|5|6|9|-
"カラ鞠の花
はるなば feat.結月ゆかり"|4|7|7|10|-
"ゴーストマスク
はるなば feat.結月ゆかり＆石黒千尋"|4|6|7|10|-
"束ね糸
はるなば feat.石黒千尋"|5|7|8|10|-
"FooFooカセット
はるなば feat.SaChi(harineko)"|4|6|6|9|-
"懐中庭園を持つ少女
はるなば feat.石黒千尋"|5|7|8|10|-
"Goldfish City
はるなば"|4|7|8|10|-
東京特許キョ許可局局長!!|3|4|6|8|-
"Princess of Donder
MOES feat.海保えりか"|4|5|5|9|-
"愛想笑い
かねこちはる"|5|6|7|8|-
G意識過剰|5|6|7|9|-
"承認欲Q
かねこちはる feat.はぁち"|4|6|7|10|-
"χ談
かねこちはる"|5|7|8|10|-
"哀 want U
かねこちはる"|5|6|8|10|-
"アムピト♢リーテー
かねこちはる"|5|7|8|10|-
"poxei♦DOON
かねこちはる"|5|7|8|10|-
"Shiny Kung-fu Revival
t＋pazolite"|4|6|7|9|-
"!!!カオスタイム!!!
t＋pazolite"|5|7|8|10|-
"毒LOＣＡＮdy♡
t＋pazolite"|3|4|6|9|-
"彼は誰時の誘惑
t＋pazolite"|2|3|6|9|10
"イオシス秋の肉食祭2014
D.watt(IOSYS) feat.Np 犬田彦 ＆ はかせ"|3|6|7|9|-
"私立高天原学園高校・校歌
D.watt(IOSYS) feat. Np 犬田彦 ＆ 山本椛"|4|6|7|9|-
"ヤマタイ★ナイトパーティー
コバヤシユウヤ(IOSYS) feat.ちよこ"|3|5|7|9|-
"聖徳たいこの「日いずるまで飛鳥」
コバヤシユウヤ(IOSYS) feat.miko"|4|6|7|9|-
"My Muscle Heart
～テレビ高天原系アニメ「筋肉魔法少女タケミナカタ」主題歌～ コバヤシユウヤ(IOSYS) feat.山本椛 (monotone)"|3|4|5|9|-
"激運！七福ハッピークルー
コバヤシユウヤ(IOSYS) feat.山本椛 (monotone)"|4|5|7|9|-
"秘ナルメジェドノ悲ナル憂鬱
コバヤシユウヤ(IOSYS) feat.山本椛 (monotone)"|4|5|7|10|-
"パン vs ごはん！ 大決戦！
コバヤシユウヤ(IOSYS) feat.miko ＆ 山本椛"|5|7|7|10|10
"Infinite Rebellion
黒沢ダイスケ 原曲「幽玄ノ乱/世阿弥(Tatsh)」"|5|7|8|10|-
"濃紅
黒沢ダイスケ × 小寺可南子"|4|6|7|10|-
"R.I.
大和 × 黒沢ダイスケ"|5|7|8|10|-
"第六天魔王
黒沢ダイスケ × Masahiro ""Godspeed"" Aoki"|5|7|8|10|-
"天下統一録
黒沢ダイスケ × Masahiro ""Godspeed"" Aoki"|5|7|8|10|-
"HARDCOREノ心得
DJ Myosuke"|5|7|8|10|-
"Behemoth
DJ Myosuke"|5|7|8|10|-
"Don’t Stop the Game
DJ Myosuke"|5|7|8|10|-
mint tears|4|6|7|10|-
"人のお金で焼肉を食したい！
INSPIONスペシャルコラボ"|3|5|6|7|10
"Ignis Danse
Yuji Masubuchi「太鼓の達人」より"|4|7|8|10|-
SAKURA EXHAUST|3|6|7|9|-
"Taiko Drum Monster
steμ feat.siroa"|3|5|7|10|10
"青天の黎明
steμ feat.siroa"|3|6|7|10|-
"タイコロール
steμ feat.siroa"|5|6|7|10|-
はやさいたま2000|5|7|8|9|-
ケチャドン2000|5|6|8|9|-
恋文2000|5|7|8|9|-
よくでる2000|5|6|7|9|-
タベルナ2000|5|7|8|10|-
きたさいたま200|5|7|8|9|-
きたさいたま2000|5|7|8|10|-
十露盤2000|4|6|8|10|-
てんぢく2000|4|7|8|10|-
EkiBEN2000|5|7|8|10|-
X‐DAY2000|5|7|8|10|-
〆ドレー2000|5|7|8|10|-
万戈イム－一ノ十|5|7|8|10|-
またさいたま2000|5|7|8|10|-
スーハー2000|5|7|8|10|-
ドンカマ2000|5|7|8|10|-
ノるどん2000|4|6|7|10|-
まださいたま2000|5|7|8|10|-
≠MM|5|7|8|10|-
