곡명|간단|후츠우|무즙|오니|우라
"どこまでも～How Far I’ll Go～
「モアナと伝説の海」より"|2|3|5|6|-
"Act！ Addict！ Actors！
アニメ「A3！」より"|2|3|4|5|8
"NO DOUBT
「アイドリッシュセブン」より"|1|2|4|7|-
"Heavenly Visitor
「アイドリッシュセブン」より"|3|3|3|6|9
"ゲゲゲの鬼太郎
TVアニメ 第6期 オープニング主題歌"|1|1|1|2|10
"ケラケラホーのうた
「妖怪ウォッチ！」より"|1|1|1|3|-
"時を待とう
「妖怪ウォッチ シャドウサイド」より"|1|2|3|6|-
"初恋峠でゲラゲラポー
「妖怪ウォッチ」より"|3|4|4|7|-
"祭り囃子でゲラゲラポー
「妖怪ウォッチ」より"|3|4|5|7|-
"ダン・ダン ドゥビ・ズバー！
「妖怪ウォッチ」より"|2|4|5|7|-
"ゲラゲラポーのうた
「妖怪ウォッチ」より"|3|4|5|7|-
"ADAMAS
「ソードアート・オンライン アリシゼーション」より"|4|4|4|8|-
"未来コネクション
テレビアニメ「ポケットモンスター サン＆ムーン」より"|2|3|4|7|-
"アローラ!!
「ポケットモンスター サン＆ムーン」より"|2|3|4|7|-
"XY＆Z
「ポケットモンスター XY & Z」より"|1|2|5|9|-
となりのトトロ|2|3|1|5|-
"さんぽ
「となりのトトロ」より"|1|1|4|5|9
"いつも何度でも
「千と千尋の神隠し」より"|2|1|2|1|-
崖の上のポニョ|1|2|1|2|-
"君をのせて
「天空の城ラピュタ」より"|2|3|4|6|-
"君の知らない物語
「化物語」より"|3|4|3|7|-
ぐでたまテーマソング|1|1|1|3|-
ぐでたまぷちょへんざ|1|1|3|4|-
"限界突破×サバイバー
「ドラゴンボール超」より"|3|3|3|3|8
"ようこそジャパリパークへ
どうぶつビスケッツ×PPP 「けものフレンズ」より"|2|2|4|7|-
"MOIL
須田景凪 映画「二ノ国」より"|2|2|3|7|-
"AIAIAI （feat. 中田ヤスタカ）
Kizuna AI"|3|3|4|7|-
"全力バタンキュー
「おそ松さん」より"|2|4|6|8|-
嘘|3|5|5|6|-
レイン|3|4|5|7|-
"ヒカリアレ
「ハイキュー!! 烏野高校 VS 白鳥沢学園高校」より"|3|5|6|9|-
"オリオンをなぞる
「TIGER ＆ BUNNY」より"|4|4|5|7|-
"僕らは今のなかで
μ's TVアニメ「ラブライブ！」より"|4|6|6|8|-
"それは僕たちの奇跡
μ's TVアニメ「ラブライブ！」より"|3|5|6|7|-
"Angelic Angel
μ's 映画「ラブライブ！The School Idol Movie」より"|3|4|4|7|-
"My Soul,Your Beats!
「Angel Beats！」より"|3|4|7|8|-
"おどるポンポコリン
「ちびまる子ちゃん」より"|1|2|3|4|-
"SHINY
「境界のRINNE」より"|3|4|5|7|-
"Dive to Blue
玉屋2060% アイマリン(CV:内田彩) 「アイマリンプロジェクト」より"|2|2|3|8|-
"Marine Mirage
ANCHOR(ZiNG) アイマリン(CV:内田彩)、アイウリン(CV:三森すずこ)、アイワリン(CV:竹達彩奈) 「アイマリンプロジェクト」より"|1|2|3|6|-
"THE IDOLM＠STER
「アイドルマスター」より"|3|4|4|8|8
"アイ MUST GO！
「アイドルマスター」より"|3|3|3|8|-
"お願い！シンデレラ
「アイドルマスター シンデレラガールズ」より"|3|4|4|7|-
"エンジェル ドリーム
「アイドルマスター シンデレラガールズ」より"|3|6|7|8|-
"Tulip
「アイドルマスター シンデレラガールズ」より"|3|3|5|6|9
"Star!!
「アイドルマスター シンデレラガールズ」より"|3|4|5|6|9
"GOIN'!!!
「アイドルマスター シンデレラガールズ」より"|3|4|5|6|8
"Shine!!
「アイドルマスター シンデレラガールズ」より"|3|4|5|6|9
"あんずのうた
「アイドルマスター シンデレラガールズ」より"|3|5|6|7|-
"S(mile)ING！
「アイドルマスター シンデレラガールズ」より"|2|4|4|6|-
"Never say never
「アイドルマスター シンデレラガールズ」より"|3|4|5|8|-
"華蕾夢ミル狂詩曲～魂ノ導～
「アイドルマスター シンデレラガールズ」より"|2|4|5|8|9
"TOKIMEKIエスカレート
「アイドルマスター シンデレラガールズ」より"|2|3|5|6|9
"ミツボシ☆☆★
「アイドルマスター シンデレラガールズ」より"|3|4|5|6|9
"マジで…！？
「アイドルマスター」より"|3|5|6|8|-
"魔法をかけて！
「アイドルマスター」より"|3|3|4|7|6
"GO MY WAY!!
「アイドルマスター」より"|3|5|5|7|-
"キラメキラリ
「アイドルマスター」より"|3|6|7|9|-
"shiny smile
「アイドルマスター」より"|3|4|4|8|7
"The world is all one !!
「アイドルマスター」より"|3|4|4|5|-
"SMOKY THRILL
「アイドルマスター」より"|4|5|6|8|-
"READY!!
「アイドルマスター」より"|3|4|4|5|-
"自分REST＠RT
「アイドルマスター」より"|3|4|4|7|9
"M＠STERPIECE
「アイドルマスター」より"|2|3|4|6|-
"待ち受けプリンス
「アイドルマスター」より"|3|5|5|9|-
"きゅんっ！ヴァンパイアガール
「アイドルマスター」より"|3|3|3|6|-
"七彩ボタン
「アイドルマスター」より"|3|4|4|7|-
"Honey Heartbeat ~10 Stars Mix~
「アイドルマスター」より"|3|4|7|9|10
"ONLY MY NOTE
「アイドルマスター」より"|3|4|6|6|-
"DRIVE A LIVE
「アイドルマスター SideM」より"|3|4|5|7|-
"Reason!!
「アイドルマスター SideM」より"|1|2|3|6|-
"GLORIOUS RO＠D
「アイドルマスター SideM」より"|2|3|3|7|-
